,Quantidade,ano,mes,dia
0,243,1995,Aug,01
1,303,1995,Aug,03
2,346,1995,Aug,04
3,236,1995,Aug,05
4,373,1995,Aug,06
5,537,1995,Aug,07
6,390,1995,Aug,08
7,279,1995,Aug,09
8,306,1995,Aug,10
9,263,1995,Aug,11
10,196,1995,Aug,12
11,216,1995,Aug,13
12,287,1995,Aug,14
13,327,1995,Aug,15
14,259,1995,Aug,16
15,271,1995,Aug,17
16,256,1995,Aug,18
17,209,1995,Aug,19
18,312,1995,Aug,20
19,305,1995,Aug,21
20,285,1995,Aug,22
21,345,1995,Aug,23
22,420,1995,Aug,24
23,415,1995,Aug,25
24,366,1995,Aug,26
25,367,1995,Aug,27
26,410,1995,Aug,28
27,420,1995,Aug,29
28,571,1995,Aug,30
29,526,1995,Aug,31
30,316,1995,Jul,01
31,291,1995,Jul,02
32,470,1995,Jul,03
33,359,1995,Jul,04
34,497,1995,Jul,05
35,640,1995,Jul,06
36,569,1995,Jul,07
37,302,1995,Jul,08
38,348,1995,Jul,09
39,398,1995,Jul,10
40,471,1995,Jul,11
41,470,1995,Jul,12
42,531,1995,Jul,13
43,411,1995,Jul,14
44,254,1995,Jul,15
45,257,1995,Jul,16
46,406,1995,Jul,17
47,465,1995,Jul,18
48,638,1995,Jul,19
49,428,1995,Jul,20
50,332,1995,Jul,21
51,191,1995,Jul,22
52,233,1995,Jul,23
53,328,1995,Jul,24
54,461,1995,Jul,25
55,336,1995,Jul,26
56,336,1995,Jul,27
57,94,1995,Jul,28
